~id,~label,name
"ator_Suely_Franco","Ator","Suely Franco"
"ator_Tnia_Costa","Ator","Tânia Costa"
"ator_Tony_Tornado","Ator","Tony Tornado"
"ator_Wagner_Molina","Ator","Wagner Molina"
"ator_Walter_Breda","Ator","Walter Breda"
"ator_Yon_Magalhes","Ator","Yoná Magalhães"
"ator_Angla_Maria","Ator","Angêla Maria"
"ator_Alcione_Mazzeo","Ator","Alcione Mazzeo"
"ator_Andrea_Avancini","Ator","Andrea Avancini"
"ator_ngela_Rabelo","Ator","Ângela Rabelo"
"ator_Antnio_Carlos","Ator","Antônio Carlos"
"ator_Antnio_Pedro","Ator","Antônio Pedro"
"ator_Arthur_Costa_Filho","Ator","Arthur Costa Filho"
"ator_Beth_Castro","Ator","Beth Castro"
"ator_Carlos_Kroeber","Ator","Carlos Kroeber"
"ator_Christine_Nazareth","Ator","Christine Nazareth"
"ator_Cludia_Raia","Ator","Cláudia Raia"
"ator_Cludio_Corra_e_Castro","Ator","Cláudio Corrêa e Castro"
"ator_Cludio_Gaya","Ator","Cláudio Gaya"
"ator_Cludio_Marzo","Ator","Cláudio Marzo"
"ator_Consuelo_Leandro","Ator","Consuelo Leandro"
"ator_Cristiane_Lopes","Ator","Cristiane Lopes"
"ator_Cristina_Pereira","Ator","Cristina Pereira"
"ator_Daniel_Filho","Ator","Daniel Filho"
"ator_Daniel_Marques","Ator","Daniel Marques"
"ator_Debora_Bloch","Ator","Debora Bloch"
"ator_Duse_Nacaratti","Ator","Duse Nacaratti"
"ator_Edson_Celulari","Ator","Edson Celulari"
"ator_Emiliano_Queiroz","Ator","Emiliano Queiroz"
"ator_Evandro_Mesquita","Ator","Evandro Mesquita"
"ator_Fabio_Sabag","Ator","Fabio Sabag"
"ator_Fernanda_Montenegro","Ator","Fernanda Montenegro"
"ator_Fernando_Vannucci","Ator","Fernando Vannucci"
"ator_Gabriela_Bicalho","Ator","Gabriela Bicalho"
"ator_Geraldo_del_Rey","Ator","Geraldo del Rey"
